0 -126.981 233.019 24.5899
1 -127.056 232.944 35.9666
2 -129.999 230.001 47.1306
3 -137.899 222.101 57.4499
4 -154.974 205.026 65.4808
5 -183.352 176.648 68.2832
6 -209.787 150.213 64.0546
7 -224.421 135.579 55.3284
8 -230.964 129.036 44.7432
9 -233.162 126.838 33.4936
10 -232.754 127.246 22.1224
11 -230.442 129.558 10.9625
12 -226.43 133.57 0.30706
13 -220.65 139.35 -9.50732
14 -212.898 147.102 -18.044
15 -203.007 156.993 -24.7371
16 -191.149 168.851 -28.937
17 -178.136 181.864 -30.0957
18 -165.327 194.673 -28.0371
19 -153.975 206.025 -23.066
20 -144.694 215.306 -15.7865
21 -137.523 222.477 -6.83617
22 -132.261 227.739 3.25553
23 -128.728 231.272 14.0849
24 -126.919 233.081 25.3342
